"full_name","spec_B","spec_T","spkid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
"  1862 Apollo (1932 HA)",Q,Q,20001862,1862,Apollo,,Y,Y,1,16.08,0.09,,,,,,1.5,,0.25,3.065,,0.819,0.481,,,,"JPL 534",2460600.5,60600,2024-10-17.0,J2000,0.5599,1.471,0.647,6.35,35.56,286.03,252.87,2.29,0.5527,2460794.35,2025-04-28.8,651,1.78,0.026,10.1,3.06,4.41,1.6e-09,1.7e-10,2.3e-09,7.3e-08,8.0e-07,6.6e-07,5.0e-07,2.7e-10,9.7e-11,9.3e-07,1.1e-07,APO,"Otto Matic",34041,1930-12-13,2024-02-24,3461,8,9,0,.46463,,,,-3.7e-15,2.0e-16,,,,
"  1863 Antinous (1948 EA)",Sq,SU,20001863,1863,Antinous,,Y,N,0,15.45,,,,,,,2.1,,0.24,7.453,,0.763,0.359,,,,"JPL 238",2460600.5,60600,2024-10-17.0,J2000,0.6063,2.261,0.890,18.35,346.00,268.57,173.83,3.63,0.2898,2460000.70,2023-02-25.1,1.24e+03,3.4,0.187,72.6,2.01,3.3,8.2e-10,1.1e-09,1.9e-09,1.1e-07,2.3e-07,3.6e-07,7.1e-07,1.7e-09,2.1e-10,2.0e-06,8.9e-07,APO,"Otto Matic",27693,1948-03-05,2023-12-30,1369,,,0,.52625,,,,,,,,,
"  1864 Daedalus (1971 FA)",Sr,SQ,20001864,1864,Daedalus,,Y,N,0,14.86,,,,,,,3.7,,0.273,8.572,,0.830,0.500,,,,"JPL 737",2460600.5,60600,2024-10-17.0,J2000,0.6143,1.461,0.564,22.21,6.61,325.66,34.28,2.36,0.5581,2460539.09,2024-08-16.5,645,1.77,0.27,105,3.11,4.34,4.8e-10,3.6e-10,7.3e-10,5.6e-08,1.1e-07,1.2e-07,7.0e-07,5.9e-10,2.1e-10,1.2e-06,2.4e-07,APO,"Otto Matic",19562,1971-03-24,2024-10-13,6000,1,0,0,.33725,,,,,,,,,
"  1865 Cerberus (1971 UA)",S,S,20001865,1865,Cerberus,,Y,N,0,16.79,,,,,,,1.2,,0.22,6.8039,,0.790,0.442,,,,"JPL 360",2460600.5,60600,2024-10-17.0,J2000,0.4668,1.08,0.576,16.10,212.89,325.29,328.39,1.58,0.8782,2460636.50,2024-11-21.9,410,1.12,0.157,61,3.41,5.59,2.2e-09,9.9e-10,2.1e-09,7.5e-08,1.5e-07,1.8e-07,2.0e-06,1.4e-09,1.2e-09,2.3e-06,5.6e-07,APO,"Otto Matic",19321,1971-11-10,2024-10-03,2359,,,0,.45461,,,,-4.7e-15,2.0e-15,,,,
"  1866 Sisyphus (1972 XA)",S,,20001866,1866,Sisyphus,,Y,N,1,12.50,,,,,,,8.48,,0.15,2.4,,,,,,,"JPL 1031",2460600.5,60600,2024-10-17.0,J2000,0.5380,1.894,0.875,41.21,63.45,293.12,349.34,2.91,0.3782,2460628.69,2024-11-14.1,952,2.61,0.104,40.5,3.25,3.51,1.2e-09,4.6e-10,2.3e-09,4.9e-08,1.2e-07,1.4e-07,2.7e-07,7.1e-10,1.4e-10,7.3e-07,3.5e-07,APO,"Otto Matic",25445,1955-01-26,2024-09-25,9077,0,1,0,.30319,,,,,,,,,
"  1915 Quetzalcoatl (1953 EA)",,SMU,20001915,1915,Quetzalcoatl,,Y,N,0,18.38,0.10,,,,,,0.5,,0.21,4.9,,0.784,0.430,,,,"JPL 13",2460600.5,60600,2024-10-17.0,J2000,0.5703,2.544,1.093,20.40,162.93,347.77,284.48,4.00,0.2429,2460911.48,2025-08-23.9,1.48e+03,4.06,0.111,43.2,1.07,3.12,2.2e-07,8.2e-08,5.9e-07,6.6e-05,6.3e-05,9.2e-05,1.8e-04,1.3e-07,1.2e-08,7.5e-04,7.1e-05,AMO,"Otto Matic",24702,1953-03-09,2020-10-25,55,0,1,0,.67784,,,,,,,,,
"  1916 Boreas (1953 RA)",S,S,20001916,1916,Boreas,,Y,N,0,14.95,,,,,,,3.5,,,3.4746,,0.852,0.407,,,,"JPL 342",2460600.5,60600,2024-10-17.0,J2000,0.4493,2.273,1.252,12.88,340.60,335.86,280.05,3.29,0.2876,2460878.45,2025-07-21.9,1.25e+03,3.43,0.253,98.6,2.06,3.44,1.2e-09,1.0e-09,3.1e-09,7.0e-08,3.9e-07,4.1e-07,5.1e-07,1.4e-09,1.9e-10,1.9e-06,8.2e-07,AMO,"Otto Matic",25812,1953-09-01,2024-05-03,2339,,,0,.50884,,,,,,,,,
"  1917 Cuyo (1968 AA)",Sl,,20001917,1917,Cuyo,,Y,N,0,14.41,,,,,,,5.7,,0.195,2.689,,,,,,,"JPL 569",2460600.5,60600,2024-10-17.0,J2000,0.5057,2.149,1.062,23.96,188.28,194.56,34.92,3.24,0.3128,2460488.87,2024-06-27.3,1.15e+03,3.15,0.0719,28,2.24,3.43,6.0e-10,1.2e-09,1.4e-09,8.1e-08,1.2e-07,2.1e-07,9.9e-07,1.8e-09,2.6e-10,3.1e-06,9.7e-07,AMO,"Otto Matic",25730,1954-05-06,2024-10-15,3663,0,2,0,.46816,,,,,,,,,
"  1943 Anteros (1973 EC)",L,S,20001943,1943,Anteros,,Y,N,0,15.70,,,,,,,2.3,,0.17,2.86923,,0.841,0.444,,,,"JPL 775",2460600.5,60600,2024-10-17.0,J2000,0.2561,1.43,1.064,8.71,246.30,338.46,29.90,1.80,0.5761,2460548.59,2024-08-26.0,625,1.71,0.0637,24.8,3.19,4.64,1.0e-09,3.8e-10,1.7e-09,6.1e-08,3.2e-07,3.9e-07,7.3e-07,4.7e-10,2.3e-10,1.3e-06,2.5e-07,AMO,"Otto Matic",18659,1973-03-10,2024-04-10,5761,,,0,.41341,,,,,,,,,
"  1980 Tezcatlipoca (1950 LA)",Sl,SU,20001980,1980,Tezcatlipoca,,Y,N,0,13.84,,,,,,,4.3,,0.25,7.24612,,0.955,0.455,,,,"JPL 812",2460600.5,60600,2024-10-17.0,J2000,0.3647,1.71,1.086,26.87,246.54,115.51,35.06,2.33,0.4409,2460520.99,2024-07-29.4,817,2.24,0.245,95.5,3.41,4,6.2e-10,3.6e-10,1.2e-09,5.3e-08,1.0e-07,1.8e-07,5.0e-07,5.0e-10,1.4e-10,1.1e-06,2.6e-07,AMO,"Otto Matic",27147,1950-06-19,2024-10-15,7580,,,0,.30848,,,,,,,,,
