"full_name","spec_B","spec_T","spkid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
" 68348 (2001 LO7)",,,20068348,68348,,,Y,N,0,14.26,,,,,,,3.512,,0.299,3.3313,,,,,,0.13,"JPL 314",2460600.5,60600,2024-10-17.0,J2000,0.8410,2.155,0.343,25.37,236.22,181.66,52.81,3.97,0.3116,2460431.01,2024-04-30.5,1.16e+03,3.16,0.385,150,1.42,3.04,9.4e-10,1.2e-09,2.1e-09,9.7e-08,1.5e-07,1.8e-07,6.2e-07,2.2e-09,2.6e-10,1.9e-06,9.8e-07,APO,"Otto Matic",25593,1954-06-02,2024-06-27,1519,,,0,.45019,,,,,,,,,
" 68350 (2001 MK3)",,,20068350,68350,,,Y,N,0,16.14,,,,,,,1.794,,0.219,3.21082,,,,,,0.33,"JPL 526",2460600.5,60600,2024-10-17.0,J2000,0.2474,1.67,1.257,29.57,128.84,328.54,128.57,2.08,0.4568,2460319.02,2024-01-09.5,788,2.16,0.304,118,3.09,4.07,2.9e-09,9.0e-10,4.2e-09,1.2e-07,2.9e-07,7.4e-07,1.1e-06,1.1e-09,3.7e-10,2.3e-06,6.4e-07,AMO,"Otto Matic",25321,1955-02-13,2024-06-11,7006,,,0,.32461,,,,,,,,,
" 68359 (2001 OZ13)",,,20068359,68359,,,Y,N,0,18.09,,,,,,,,,,18.07,,,,,,,"JPL 294",2460600.5,60600,2024-10-17.0,J2000,0.1743,1.517,1.253,9.86,99.20,29.21,332.89,1.78,0.5273,2460651.91,2024-12-07.4,683,1.87,0.28,109,3.28,4.48,2.1e-08,1.4e-09,3.2e-08,2.2e-06,1.3e-05,1.5e-05,6.6e-06,1.7e-09,7.4e-10,1.2e-05,9.6e-07,AMO,"Otto Matic",10844,1995-02-04,2024-10-13,2685,,,0,.32765,,,,,,,,,
" 68372 (2001 PM9)",,,20068372,68372,,,Y,Y,0,18.95,,,,,,,,,,,,,,,,,"JPL 109",2460600.5,60600,2024-10-17.0,J2000,0.4160,1.618,0.945,8.11,252.96,322.33,157.97,2.29,0.4789,2460270.62,2023-11-22.1,752,2.06,0.00376,1.46,2.7,4.22,4.0e-08,6.1e-09,6.5e-08,5.1e-06,3.1e-05,3.2e-05,2.3e-05,8.6e-09,2.7e-09,4.7e-05,4.2e-06,APO,"Otto Matic",8498,2001-06-28,2024-10-03,374,,,0,.65116,,,,,,,,,
" 68548 (2001 XR31)",,,20068548,68548,,,Y,Y,0,16.57,,,,,,,1.182,,0.289,,,,,,,0.04,"JPL 250",2460600.5,60600,2024-10-17.0,J2000,0.4368,1.707,0.961,22.72,302.02,24.71,186.50,2.45,0.4419,2460993.10,2025-11-13.5,815,2.23,0.0247,9.62,2.92,4,3.5e-09,7.7e-10,6.1e-09,4.7e-07,6.1e-07,8.7e-07,1.4e-06,1.1e-09,3.0e-10,3.3e-06,5.5e-07,APO,"Otto Matic",10932,1994-04-06,2024-03-11,1352,,,0,.42266,,,,,,,,,
" 68950 (2002 QF15)",,,20068950,68950,,,Y,Y,0,16.39,,,,,,,1.650,,0.178,45.24,,,,,,0.56,"JPL 521",2460600.5,60600,2024-10-17.0,J2000,0.3443,1.057,0.693,25.15,236.21,255.57,54.57,1.42,0.9069,2460540.33,2024-08-17.8,397,1.09,0.00746,2.9,3.82,5.69,6.9e-10,2.3e-10,6.3e-10,6.3e-08,1.0e-07,1.2e-07,5.5e-07,3.1e-10,3.0e-10,5.8e-07,1.3e-07,APO,"Otto Matic",24191,1955-07-23,2021-10-15,3067,12,1,0,.41024,,,,-7.0e-15,3.6e-16,,,,
" 69230 Hermes (1937 UB)",,,20069230,69230,Hermes,,Y,Y,1,17.68,,,,,,,,,,13.894,,,,,,,"JPL 192",2460600.5,60600,2024-10-17.0,J2000,0.6239,1.655,0.622,6.07,34.05,92.90,279.39,2.69,0.463,2460774.62,2025-04-09.1,778,2.13,0.00431,1.68,2.43,4.02,1.0e-08,1.9e-09,1.6e-08,3.4e-06,9.8e-06,9.7e-06,3.7e-06,3.1e-09,8.0e-10,8.4e-06,1.3e-06,APO,"Otto Matic",31758,1937-10-25,2024-10-06,2662,3,3,0,.26372,,,,-1.1e-14,1.8e-15,,,,
" 85182 (1991 AQ)",,,20085182,85182,,,Y,Y,0,17.14,,,,,,,1.1,,0.242,,,,,,,,"JPL 159",2460600.5,60600,2024-10-17.0,J2000,0.7777,2.22,0.494,3.12,339.40,243.23,59.27,3.95,0.2979,2460401.55,2024-04-01.0,1.21e+03,3.31,0.0161,6.25,1.07,3.16,1.1e-08,2.0e-09,2.4e-08,4.5e-06,6.7e-05,6.7e-05,4.1e-06,3.6e-09,4.0e-10,1.4e-05,1.6e-06,APO,"Otto Matic",12322,1991-01-14,2024-10-09,730,5,3,0,.44354,,,,,,,,,
" 85184 (1991 JG1)",,,20085184,85184,,,Y,N,0,18.41,,,,,,,,,,24.19,,,,,,,"JPL 160",2460600.5,60600,2024-10-17.0,J2000,0.1844,1.374,1.121,33.88,226.38,322.78,300.45,1.63,0.6119,2460697.80,2025-01-22.3,588,1.61,0.148,57.7,3.4,4.63,5.8e-09,1.2e-09,7.3e-09,8.7e-07,1.2e-06,2.5e-06,1.7e-06,1.4e-09,8.1e-10,2.9e-06,7.8e-07,AMO,"Otto Matic",16417,1978-01-09,2022-12-21,1060,,,0,.42134,,,,,,,,,
" 85236 (1993 KH)",,,20085236,85236,,,Y,Y,0,18.75,,,,,,,,,,5.057,,,,,,,"JPL 171",2460600.5,60600,2024-10-17.0,J2000,0.3110,1.234,0.850,12.81,54.36,293.82,252.62,1.62,0.7192,2460749.81,2025-03-15.3,501,1.37,0.000862,0.335,3.84,5.12,1.0e-09,1.2e-09,1.3e-09,1.4e-07,4.0e-07,1.8e-07,1.4e-06,1.6e-09,1.1e-09,2.2e-06,7.3e-07,APO,"Otto Matic",11202,1993-05-24,2024-01-24,1174,1,0,0,.46962,,,,-1.8e-14,3.7e-15,,,,
" 85275 (1994 LY)",,,20085275,85275,,,Y,N,0,16.51,,,,,,,2.506,,0.093,2.6967,,,,,,1.18,"JPL 404",2460600.5,60600,2024-10-17.0,J2000,0.4420,1.891,1.055,17.71,141.14,202.87,207.94,2.73,0.3791,2461001.62,2025-11-22.1,950,2.6,0.0646,25.2,2.7,3.78,1.8e-09,1.2e-09,3.7e-09,1.3e-07,5.1e-07,5.8e-07,1.3e-06,1.8e-09,3.8e-10,3.9e-06,9.4e-07,AMO,"Otto Matic",10900,1994-06-05,2024-04-08,9876,,,0,.23385,,,,,,,,,
" 85490 (1997 SE5)",T,,20085490,85490,,,Y,N,0,14.81,,,,,,,,,,9.0583,,,,,,,"JPL 129",2460600.5,60600,2024-10-17.0,J2000,0.6601,3.764,1.279,2.58,247.54,94.25,275.72,6.25,0.135,2461224.89,2026-07-03.3,2.67e+03,7.3,0.275,107,0.297,2.66,3.9e-08,6.9e-08,1.5e-07,4.8e-06,1.4e-04,1.4e-04,2.2e-05,1.2e-07,3.7e-09,1.8e-04,7.4e-05,AMO,"Otto Matic",15307,1982-04-20,2024-03-17,874,,,0,.55744,,,,,,,,,
" 85585 Mjolnir (1998 FG2)",,,20085585,85585,Mjolnir,,Y,Y,0,21.64,,,,,,,,,,11.6,,,,,,,"JPL 32",2460600.5,60600,2024-10-17.0,J2000,0.3563,1.298,0.835,4.08,2.31,95.42,37.53,1.76,0.6669,2460544.22,2024-08-21.7,540,1.48,0.0218,8.47,3.43,4.94,1.4e-07,1.7e-08,2.0e-07,1.5e-05,5.5e-05,6.2e-05,1.2e-04,2.4e-08,1.3e-08,1.8e-04,1.1e-05,APO,"Otto Matic",2039,1998-03-21,2003-10-20,196,,,0,.57282,,,,,,,,,
" 85628 (1998 KV2)",,,20085628,85628,,,Y,N,1,17.28,,,,,,,0.775,,0.461,2.8228,,,,,,0.03,"JPL 711",2460600.5,60600,2024-10-17.0,J2000,0.3314,1.592,1.065,13.03,66.73,50.59,141.97,2.12,0.4905,2460311.06,2024-01-01.5,734,2.01,0.144,56,3.05,4.29,4.3e-09,5.4e-10,6.7e-09,2.4e-07,5.2e-07,6.0e-07,6.2e-07,7.2e-10,2.5e-10,1.2e-06,3.7e-07,AMO,"Otto Matic",9515,1998-05-22,2024-06-09,6782,,,0,.3133,,,,,,,,,
" 85640 (1998 OX4)",,,20085640,85640,,,Y,Y,0,21.14,,,,,,,,,,,,,,,,,"JPL 64",2460600.5,60600,2024-10-17.0,J2000,0.4859,1.58,0.812,4.52,299.57,117.30,15.27,2.35,0.4961,2460569.73,2024-09-16.2,726,1.99,0.00102,0.398,3.04,4.25,3.5e-08,2.0e-09,5.4e-08,6.9e-06,7.9e-05,7.9e-05,8.5e-06,3.0e-09,9.5e-10,1.7e-05,1.4e-06,APO,"Otto Matic",7584,1998-07-26,2019-05-01,274,,,0,.56911,,,,,,,,,
" 85709 (1998 SG36)",,,20085709,85709,,,Y,N,0,15.93,,,,,,,2.230,,0.141,3.573,,,,,,0.14,"JPL 660",2460600.5,60600,2024-10-17.0,J2000,0.3374,1.646,1.091,24.83,186.56,29.81,262.00,2.20,0.4667,2460810.48,2025-05-14.9,771,2.11,0.125,48.8,2.8,4.12,3.8e-09,4.8e-10,6.1e-09,2.6e-07,1.3e-07,6.9e-07,1.3e-06,6.5e-10,2.1e-10,2.8e-06,3.4e-07,AMO,"Otto Matic",9183,1998-09-18,2023-11-09,3855,,,0,.4838,,,,,,,,,
" 85713 (1998 SS49)",,,20085713,85713,,,Y,Y,0,15.77,,,,,,,3.484,,0.076,5.37,,,,,,0.79,"JPL 287",2460600.5,60600,2024-10-17.0,J2000,0.6388,1.923,0.695,10.79,40.95,103.13,239.57,3.15,0.3695,2460926.40,2025-09-07.8,974,2.67,0.0039,1.52,1.99,3.62,2.1e-08,8.4e-10,4.0e-08,3.3e-06,1.2e-05,1.2e-05,2.1e-06,1.4e-09,2.4e-10,5.7e-06,6.4e-07,APO,"Otto Matic",9498,1998-09-29,2024-09-30,1493,3,0,0,.32886,,,,,,,,,
" 85770 (1998 UP1)",,,20085770,85770,,,Y,N,0,20.72,,,,,,,,,,,,,,,,,"JPL 104",2460600.5,60600,2024-10-17.0,J2000,0.3452,0.9977,0.653,33.18,18.33,234.23,117.08,1.34,0.989,2460482.12,2024-06-20.6,364,0.997,0.0839,32.6,3.77,5.9,5.0e-07,1.0e-08,5.1e-07,4.7e-05,7.8e-06,2.9e-05,6.3e-05,1.4e-08,1.5e-08,6.3e-05,5.6e-06,ATE,"Otto Matic",12390,1990-10-12,2024-09-13,464,,,0,.38265,,,,-4.5e-14,1.0e-14,,,,
" 85774 (1998 UT18)",C,,20085774,85774,,,Y,Y,0,19.09,,,,,,,0.939,,0.042,55.,,,,,,0.01,"JPL 195",2460600.5,60600,2024-10-17.0,J2000,0.3288,1.403,0.942,13.59,64.62,50.15,178.64,1.86,0.5932,2460299.33,2023-12-20.8,607,1.66,0.0363,14.1,3.31,4.66,8.8e-09,5.8e-10,1.2e-08,5.6e-06,5.0e-06,6.4e-06,1.9e-06,7.8e-10,3.7e-10,3.1e-06,3.8e-07,APO,"Otto Matic",12846,1989-04-30,2024-07-01,900,4,4,0,.42781,,,,-6.9e-15,1.3e-15,,,,
" 85804 (1998 WQ5)",,,20085804,85804,,,Y,N,0,15.35,,,,,,,2.272,,0.167,2.6761,,,,,,0.05,"JPL 610",2460600.5,60600,2024-10-17.0,J2000,0.3543,1.721,1.111,27.66,285.68,269.88,71.26,2.33,0.4365,2460437.24,2024-05-06.7,825,2.26,0.373,145,3.12,3.98,8.8e-10,4.5e-10,1.4e-09,1.1e-07,9.3e-08,1.9e-07,6.5e-07,6.0e-10,1.7e-10,1.4e-06,3.2e-07,AMO,"Otto Matic",12727,1989-11-25,2024-09-29,3833,,,0,.39358,,,,,,,,,
" 85818 (1998 XM4)",S,,20085818,85818,,,Y,N,0,15.46,,,,,,,2.028,,0.168,19.451,,,,,,0.02,"JPL 216",2460600.5,60600,2024-10-17.0,J2000,0.4160,1.657,0.968,62.72,235.64,301.22,306.51,2.35,0.4622,2460716.23,2025-02-09.7,779,2.13,0.112,43.4,3.13,3.61,2.1e-09,7.5e-10,3.3e-09,3.0e-07,3.7e-07,6.3e-07,1.7e-06,1.1e-09,3.1e-10,3.7e-06,5.3e-07,APO,"Otto Matic",11467,1993-05-24,2024-10-15,1142,,,0,.53694,,,,,,,,,
" 85839 (1998 YO4)",,,20085839,85839,,,Y,N,0,16.63,,,,,,,1.140,,0.405,2.45,,,,,,0.01,"JPL 390",2460600.5,60600,2024-10-17.0,J2000,0.2481,1.654,1.243,9.32,28.51,199.67,271.64,2.06,0.4635,2460791.15,2025-04-25.6,777,2.13,0.242,94.3,2.92,4.22,7.0e-09,1.5e-09,1.1e-08,2.0e-07,6.2e-07,2.4e-06,4.1e-06,1.9e-09,6.3e-10,8.9e-06,1.1e-06,AMO,"Otto Matic",11484,1993-04-25,2024-10-03,2457,,,0,.44532,,,,,,,,,
" 85867 (1999 BY9)",,,20085867,85867,,,Y,N,0,18.30,,,,,,,,,,700.,,,,,,,"JPL 174",2460600.5,60600,2024-10-17.0,J2000,0.3021,1.83,1.277,0.95,254.12,287.87,103.83,2.38,0.3981,2460339.71,2024-01-30.2,904,2.48,0.282,110,2.58,3.97,4.4e-08,4.3e-09,7.9e-08,2.8e-06,1.9e-04,1.9e-04,1.2e-05,5.6e-09,1.4e-09,2.9e-05,3.2e-06,AMO,"Otto Matic",10282,1995-09-19,2023-11-13,719,,,0,.59431,,,,,,,,,
" 85938 (1999 DJ4)",Sq,,20085938,85938,,,Y,Y,1,18.73,,,,,,,,,,2.5141,,,,,,,"JPL 126",2460600.5,60600,2024-10-17.0,J2000,0.4846,1.853,0.955,9.14,19.87,197.79,41.94,2.75,0.3909,2460493.20,2024-07-01.6,921,2.52,0.023,8.93,2.23,3.84,2.6e-08,3.5e-09,4.9e-08,5.1e-06,2.3e-05,2.4e-05,9.9e-06,5.2e-09,1.1e-09,2.5e-05,2.6e-06,APO,"Otto Matic",9259,1999-02-24,2024-07-01,647,1,0,0,.49515,,,,,,,,,
" 85953 (1999 FK21)",S,,20085953,85953,,,Y,N,0,18.15,,,,,,,0.59,,0.32,28.08,,,,,,,"JPL 274",2460600.5,60600,2024-10-17.0,J2000,0.7030,0.7388,0.219,12.60,180.45,172.42,358.20,1.26,1.552,2460601.66,2024-10-18.1,232,0.635,0.0712,27.7,4.18,7.57,1.5e-08,1.5e-09,1.1e-08,7.6e-07,1.9e-06,1.8e-06,9.9e-06,2.5e-09,4.7e-09,6.4e-06,7.0e-07,ATE,"Otto Matic",19058,1971-03-26,2023-05-30,1701,,,0,.4622,,,,-1.4e-14,1.1e-15,,,,
" 85989 (1999 JD6)",K,,20085989,85989,,,Y,Y,0,17.07,,,,,,,1.462,,0.056,7.6638,,,,,,0.02,"JPL 497",2460600.5,60600,2024-10-17.0,J2000,0.6329,0.8831,0.324,17.07,130.15,309.25,338.43,1.44,1.188,2460618.66,2024-11-04.1,303,0.83,0.0475,18.5,3.87,6.5,1.8e-09,8.9e-10,1.7e-09,8.8e-08,9.5e-08,1.1e-07,2.4e-06,1.5e-09,1.8e-09,2.0e-06,4.6e-07,ATE,"Otto Matic",12510,1990-06-22,2024-09-21,3831,11,4,0,.34149,,,,-5.5e-15,1.7e-15,,,,
" 85990 (1999 JV6)",Xk,,20085990,85990,,,Y,Y,0,20.27,,,,,,,0.451,,0.095,6.538,,,,,,0.03,"JPL 256",2460600.5,60600,2024-10-17.0,J2000,0.3111,1.008,0.695,5.36,124.30,235.57,312.19,1.32,0.9733,2460649.62,2024-12-05.1,370,1.01,0.0316,12.3,4.12,5.99,9.9e-09,1.0e-09,9.7e-09,2.1e-06,8.4e-06,8.4e-06,3.0e-06,1.3e-09,1.5e-09,3.1e-06,5.5e-07,APO,"Otto Matic",9026,1999-05-13,2024-01-28,1190,15,0,0,.41093,,,,-3.6e-14,2.6e-15,,,,
" 86039 (1999 NC43)",Q,,20086039,86039,,,Y,Y,0,15.97,,,,,,,2.22,,0.14,122.2,,,,,,,"JPL 307",2460600.5,60600,2024-10-17.0,J2000,0.5789,1.76,0.741,7.13,311.62,120.81,217.35,2.78,0.4221,2460938.41,2025-09-19.9,853,2.33,0.0243,9.46,2.58,3.9,3.6e-08,2.1e-09,6.2e-08,4.5e-06,2.8e-05,2.8e-05,4.7e-06,3.2e-09,7.4e-10,1.2e-05,1.5e-06,APO,"Otto Matic",9157,1999-06-11,2024-07-06,1613,,,0,.42212,,,,,,,,,
" 86067 (1999 RM28)",,,20086067,86067,,,Y,N,0,16.46,,,,,,,1.245,,0.314,9.196,,,,,,0.21,"JPL 268",2460600.5,60600,2024-10-17.0,J2000,0.3236,1.817,1.229,30.55,136.04,301.86,32.99,2.40,0.4024,2460518.53,2024-07-27.0,895,2.45,0.365,142,3.01,3.83,8.1e-10,5.7e-10,1.6e-09,1.5e-07,1.9e-07,4.1e-07,7.8e-07,7.5e-10,1.9e-10,1.9e-06,4.2e-07,AMO,"Otto Matic",12460,1989-07-07,2023-08-18,1396,,,0,.5351,,,,,,,,,
" 86324 (1999 WA2)",,,20086324,86324,,,Y,N,0,15.83,,,,,,,2.102,,0.191,7.161,,,,,,0.61,"JPL 306",2460600.5,60600,2024-10-17.0,J2000,0.4346,1.967,1.112,34.60,293.64,75.33,60.76,2.82,0.3574,2460430.49,2024-04-29.9,1.01e+03,2.76,0.343,133,3.21,3.56,5.1e-10,7.5e-10,9.7e-10,1.2e-07,1.3e-07,1.7e-07,4.1e-07,1.1e-09,2.0e-10,1.1e-06,5.7e-07,AMO,"Otto Matic",9089,1999-11-16,2024-10-04,3479,,,0,.35616,,,,,,,,,
" 86326 (1999 WK13)",S,,20086326,86326,,,Y,N,0,17.42,,,,,,,1.348,,0.098,6.36,,,,,,0.03,"JPL 159",2460600.5,60600,2024-10-17.0,J2000,0.3627,1.844,1.176,34.31,78.44,312.61,350.00,2.51,0.3935,2460625.92,2024-11-11.4,915,2.5,0.28,109,3.08,3.74,5.9e-08,1.6e-09,1.1e-07,8.7e-06,6.5e-06,7.7e-06,4.6e-06,2.2e-09,5.2e-10,1.2e-05,1.2e-06,AMO,"Otto Matic",16365,1979-11-18,2024-09-07,840,,,0,.55153,,,,,,,,,
" 86450 (2000 CK33)",Xk,,20086450,86450,,,Y,N,0,18.45,,,,,,,,,,6.6064,,,,,,,"JPL 260",2460600.5,60600,2024-10-17.0,J2000,0.4148,0.968,0.567,18.11,124.84,215.60,76.04,1.37,1.035,2460527.01,2024-08-04.5,348,0.952,0.126,48.9,4.02,6.12,5.2e-08,6.8e-10,5.1e-08,5.1e-06,5.2e-06,7.6e-06,1.2e-05,9.6e-10,1.1e-09,1.1e-05,3.6e-07,ATE,"Otto Matic",8887,2000-01-25,2024-05-25,3905,,,0,.30496,,,,,,,,,
" 86666 (2000 FL10)",,,20086666,86666,,,Y,N,0,16.92,,,,,,,1.165,,0.228,206,,,,,,0.46,"JPL 335",2460600.5,60600,2024-10-17.0,J2000,0.4271,1.463,0.838,29.01,186.91,258.87,1.21,2.09,0.5569,2460598.32,2024-10-14.8,646,1.77,0.0815,31.7,3.56,4.39,1.1e-09,1.9e-09,1.4e-09,1.0e-07,1.9e-07,1.2e-07,2.1e-06,2.7e-09,1.1e-09,3.8e-06,1.2e-06,APO,"Otto Matic",8931,2000-03-30,2024-09-11,1860,2,1,0,.40927,,,,-2.1e-14,4.3e-15,,,,
" 86667 (2000 FO10)",,,20086667,86667,,,Y,N,0,17.54,,,,,,,0.745,,0.349,53.756,,,,,,0.02,"JPL 362",2460600.5,60600,2024-10-17.0,J2000,0.5946,0.8594,0.348,14.29,208.30,172.49,94.23,1.37,1.237,2460524.33,2024-08-01.8,291,0.797,0.134,52,4.09,6.69,4.4e-09,9.9e-10,3.8e-09,3.3e-07,9.2e-07,7.3e-07,3.1e-06,1.6e-09,2.1e-09,2.4e-06,5.0e-07,ATE,"Otto Matic",13186,1988-05-11,2024-06-17,2414,,,0,.43386,,,,1.3e-14,2.0e-15,,,,
" 86819 (2000 GK137)",Sq,,20086819,86819,,,Y,Y,0,17.47,,,,,,,0.802,,0.301,3.0239,,,,,,0.27,"JPL 162",2460600.5,60600,2024-10-17.0,J2000,0.5059,1.995,0.986,10.06,164.88,150.30,212.48,3.00,0.3497,2461022.39,2025-12-12.8,1.03e+03,2.82,0.0168,6.53,2.35,3.66,2.7e-08,2.7e-09,5.3e-08,4.2e-06,2.6e-05,2.6e-05,7.2e-06,4.1e-09,7.2e-10,2.1e-05,2.1e-06,APO,"Otto Matic",10198,1994-04-03,2022-03-05,827,,,0,.51567,,,,,,,,,
" 86829 (2000 GR146)",S:,,20086829,86829,,,Y,N,0,15.82,,,,,,,1.823,,0.232,3.0996,,,,,,0.04,"JPL 286",2460600.5,60600,2024-10-17.0,J2000,0.5750,1.463,0.622,14.37,78.46,31.41,353.40,2.30,0.5572,2460612.35,2024-10-28.8,646,1.77,0.203,79,2.89,4.4,1.1e-09,8.1e-10,1.5e-09,1.2e-07,2.6e-07,2.9e-07,1.5e-06,1.3e-09,4.6e-10,2.8e-06,5.3e-07,APO,"Otto Matic",18362,1974-06-17,2024-09-24,2063,,,0,.45231,,,,,,,,,
" 86878 (2000 HD24)",,,20086878,86878,,,Y,N,0,17.67,,,,,,,,,,15.72,,,,,,,"JPL 138",2460600.5,60600,2024-10-17.0,J2000,0.6186,1.342,0.512,9.47,230.99,214.92,314.19,2.17,0.6343,2460672.72,2024-12-28.2,568,1.55,0.103,40.1,3.11,4.67,2.5e-08,1.5e-09,3.4e-08,3.8e-06,2.3e-05,2.3e-05,6.4e-06,2.4e-09,1.0e-09,1.0e-05,9.3e-07,APO,"Otto Matic",15004,1983-05-12,2024-06-09,679,,,0,.44959,,,,,,,,,
" 87024 (2000 JS66)",,,20087024,87024,,,Y,N,0,18.73,,,,,,,,,,28.2,,,,,,,"JPL 264",2460600.5,60600,2024-10-17.0,J2000,0.1898,1.197,0.970,14.43,230.50,84.94,157.59,1.42,0.7529,2460391.20,2024-03-21.7,478,1.31,0.098,38.1,3.79,5.26,8.5e-09,1.4e-09,1.0e-08,3.9e-07,6.1e-07,1.9e-06,2.7e-06,1.6e-09,1.3e-09,3.3e-06,8.2e-07,APO,"Otto Matic",15762,1979-01-06,2022-03-03,3664,1,0,0,.31955,,,,2.3e-14,2.6e-15,,,,
" 87025 (2000 JT66)",,,20087025,87025,,,Y,N,0,18.14,,,,,,,,,,,,,,,,,"JPL 80",2460600.5,60600,2024-10-17.0,J2000,0.4835,1.226,0.633,25.32,120.49,359.61,46.30,1.82,0.7256,2460536.69,2024-08-14.1,496,1.36,0.349,136,3.29,5.01,8.4e-08,2.2e-09,1.0e-07,8.8e-06,1.0e-05,1.4e-05,2.0e-05,3.3e-09,2.0e-09,2.7e-05,1.3e-06,APO,"Otto Matic",8093,2000-05-07,2022-07-04,326,,,0,.52219,,,,,,,,,
" 87309 (2000 QP)",,,20087309,87309,,,Y,N,0,17.60,,,,,,,0.568,,0.499,2.1651,,,,,,0.16,"JPL 181",2460600.5,60600,2024-10-17.0,J2000,0.4631,0.8475,0.455,34.74,294.27,188.17,229.25,1.24,1.263,2460704.00,2025-01-28.4,285,0.78,0.203,79.1,3.87,6.73,2.9e-09,1.5e-10,2.5e-09,4.0e-07,3.2e-07,5.7e-07,1.3e-06,2.2e-10,3.4e-10,1.1e-06,7.7e-08,ATE,"Otto Matic",17966,1975-07-08,2024-09-14,1043,,,0,.49026,,,,,,,,,
" 87311 (2000 QJ1)",,,20087311,87311,,,Y,N,0,16.50,,,,,,,1.948,,0.142,,,,,,,0.14,"JPL 383",2460600.5,60600,2024-10-17.0,J2000,0.5121,1.59,0.776,7.70,191.42,343.53,132.63,2.40,0.4915,2460330.65,2024-01-21.1,732,2.01,0.108,42,2.57,4.21,2.5e-09,9.0e-10,3.9e-09,8.9e-08,9.2e-07,1.1e-06,1.2e-06,1.4e-09,4.2e-10,2.2e-06,6.3e-07,APO,"Otto Matic",15389,1982-08-16,2024-10-03,2300,,,0,.49436,,,,,,,,,
" 87684 (2000 SY2)",,,20087684,87684,,,Y,Y,0,16.00,,,,,,,,,,2.5712,,,,,,,"JPL 359",2460600.5,60600,2024-10-17.0,J2000,0.6428,0.8587,0.307,19.22,162.01,47.81,182.98,1.41,1.239,2460743.40,2025-03-08.9,291,0.796,0.0466,18.1,3.59,6.65,2.2e-09,3.3e-10,1.9e-09,9.6e-08,5.5e-07,4.0e-07,1.7e-06,5.5e-10,7.2e-10,1.4e-06,1.7e-07,ATE,"Otto Matic",17175,1977-10-07,2024-10-15,2124,,,0,.49187,,,,,,,,,
" 88188 (2000 XH44)",,,20088188,88188,,,Y,N,0,16.08,,,,,,,1.371,,0.374,2.6906,,,,,,0.26,"JPL 513",2460600.5,60600,2024-10-17.0,J2000,0.3910,2.008,1.223,11.34,340.12,195.38,82.77,2.79,0.3463,2460361.50,2024-02-20.9,1.04e+03,2.85,0.236,91.8,2.19,3.71,2.4e-09,6.6e-10,4.8e-09,9.9e-08,6.4e-07,5.4e-07,6.1e-07,9.2e-10,1.7e-10,1.7e-06,5.1e-07,AMO,"Otto Matic",11932,1991-12-07,2024-08-07,3558,,,0,.47555,,,,,,,,,
" 88213 (2001 AF2)",,,20088213,88213,,,Y,N,0,19.48,,,,,,,0.912,,0.028,,,,,,,0.42,"JPL 89",2460600.5,60600,2024-10-17.0,J2000,0.5952,0.954,0.386,17.81,114.25,194.99,314.29,1.52,1.058,2460643.71,2024-11-29.2,340,0.932,0.172,67.1,3.75,6.11,7.1e-08,3.8e-09,6.9e-08,9.5e-06,1.3e-05,1.3e-05,2.5e-05,6.0e-09,6.3e-09,2.4e-05,2.0e-06,ATE,"Otto Matic",6624,2001-01-02,2019-02-21,354,,,0,.50506,,,,,,,,,
" 88254 (2001 FM129)",,,20088254,88254,,,Y,Y,0,17.77,,,,,,,0.800,,0.252,38.56,,,,,,0.01,"JPL 195",2460600.5,60600,2024-10-17.0,J2000,0.6296,1.182,0.438,1.52,272.11,140.23,166.57,1.93,0.7666,2460383.21,2024-03-13.7,470,1.29,0.01,3.91,3.47,5.14,3.0e-08,1.2e-09,3.5e-08,2.0e-06,1.5e-04,1.5e-04,3.6e-06,1.9e-09,1.2e-09,4.4e-06,7.1e-07,APO,"Otto Matic",16796,1978-05-08,2024-05-02,921,1,1,0,.42614,,,,,,,,,
" 88263 (2001 KQ1)",,,20088263,88263,,,Y,N,0,15.69,,,,,,,5.748,,0.037,13.17,,,,,,0.03,"JPL 329",2460600.5,60600,2024-10-17.0,J2000,0.4326,2.097,1.190,38.79,232.82,241.58,319.85,3.00,0.3247,2460724.18,2025-02-17.6,1.11e+03,3.04,0.375,146,2.86,3.37,1.2e-09,2.0e-10,2.6e-09,1.6e-07,1.5e-07,2.6e-07,2.2e-07,2.9e-10,4.7e-11,6.8e-07,1.6e-07,AMO,"Otto Matic",9660,1998-05-05,2024-10-15,3362,,,0,.33753,,,,,,,,,
